y_true,mu_pred,sigma2,sigma
0.007374714,0.0041861376,8.687398e-06,0.0029474392
-0.01910491,0.0032462566,2.0852476e-05,0.004566451
-0.007985473,0.00385678,9.243486e-06,0.0030403102
0.009316851,0.0028021492,1.3470425e-05,0.0036702077
-0.009082787,0.003745297,7.1794593e-06,0.0026794514
0.015353102,0.004413523,1.8819044e-05,0.004338092
-0.016258866,0.0043594674,1.2528972e-05,0.0035396288
0.023365637,0.0048275962,1.3967603e-05,0.0037373255
-0.0071769124,0.0042728973,1.8145487e-05,0.004259752
-0.007794078,0.0030883104,1.0813349e-05,0.0032883657
0.0016746202,0.0038556652,1.4940847e-05,0.003865339
-0.025862353,0.003631774,1.9858217e-05,0.004456256
-0.010637504,0.0038045507,1.600028e-05,0.004000035
0.018949963,0.002820333,1.0945046e-05,0.0033083297
0.00086131814,0.0037366303,1.1697374e-05,0.0034201425
0.007758982,0.0035641985,8.3973755e-06,0.0028978225
0.0,0.004842549,1.2952423e-05,0.0035989475
0.02778035,0.0044740373,2.1674145e-05,0.00465555
-0.008782083,0.0036805712,9.167016e-06,0.003027708
-0.0036887294,0.004362652,2.055455e-05,0.0045337128
-0.004828999,0.0037702092,1.0804677e-05,0.003287047
-0.016805705,0.003435787,1.5581776e-05,0.003947376
-0.0073547354,0.004157919,1.6850805e-05,0.0041049733
-0.007824569,0.004249826,1.6944572e-05,0.0041163787
-0.021456728,0.0027803495,9.84309e-06,0.0031373699
0.010696577,0.0037490767,1.40227385e-05,0.0037446946
0.017130027,0.003117525,8.246954e-06,0.002871751
-0.011213282,0.0031191246,1.2327076e-05,0.0035109934
0.01868107,0.0036427707,1.9524516e-05,0.0044186553
0.0016792932,0.00454626,2.604756e-05,0.0051036812
0.020365128,0.0033677125,1.077813e-05,0.0032830061
-0.0075770724,0.0032840436,6.238466e-06,0.0024976921
-0.0012633925,0.0036161684,8.73438e-06,0.0029553983
0.014249132,0.0031267658,6.8442746e-06,0.0026161564
-0.013925532,0.0031153199,5.552281e-06,0.0023563278
-0.00626762,0.0041741924,1.4540195e-05,0.0038131608
-0.0052737673,0.0034266382,1.5101307e-05,0.00388604
-0.0114900265,0.0038609917,1.6292497e-05,0.0040363967
-0.033089135,0.0032491514,8.999128e-06,0.0029998547
-0.036847755,0.003757136,1.2043114e-05,0.003470319
-0.012807855,0.0036565268,1.21764815e-05,0.0034894815
0.023446832,0.0033071167,1.4613154e-05,0.0038227155
-0.008566398,0.0032303887,7.683685e-06,0.0027719461
0.0014716183,0.003223938,1.5827047e-05,0.0039783223
0.009616395,0.003159791,7.3855717e-06,0.002717641
-0.018589882,0.003165845,1.2846327e-05,0.0035841772
-0.009854051,0.0043537095,2.0755853e-05,0.004555859
-0.020142464,0.0034297025,7.531811e-06,0.0027444146
0.018349499,0.0037082753,1.6925114e-05,0.0041140146
0.010743044,0.0036858798,1.2950478e-05,0.0035986772
0.005156407,0.0031667487,1.207891e-05,0.0034754726
-0.023455953,0.0035029817,1.1706093e-05,0.0034214167
-0.015956206,0.0037458101,1.39475815e-05,0.0037346461
0.021060541,0.0029916016,4.098582e-06,0.0020244955
-0.014117135,0.00405498,8.7981425e-06,0.0029661662
0.017990438,0.0036373467,7.19581e-06,0.0026825008
0.0040041665,0.0029493943,1.0873661e-05,0.0032975236
0.004178162,0.0046067294,1.7779033e-05,0.004216519
0.0,0.0022308126,6.2742015e-06,0.0025048356
0.006773508,0.0038057026,2.185469e-05,0.0046749
-0.01597068,0.0033283,7.005231e-06,0.0026467396
0.0023775818,0.0024207332,8.106784e-06,0.0028472415
-0.025199471,0.003539553,1.618528e-05,0.0040230933
-0.0052424273,0.0025376508,9.263192e-06,0.0030435491
0.027883725,0.0032461374,1.4508937e-05,0.00380906
0.009411277,0.002641812,6.508537e-06,0.0025511833
0.026332315,0.0037555334,1.4999561e-05,0.0038729268
0.009966769,0.003168353,6.9650264e-06,0.0026391337
-0.005393494,0.004225789,1.6720614e-05,0.004089085
0.0079234,0.003621693,9.026038e-06,0.0030043365
0.012831024,0.0031803406,7.452697e-06,0.0027299628
-0.0032749572,0.0030626487,8.010296e-06,0.0028302467
0.00061760045,0.0031853495,8.121247e-06,0.0028497803
-0.017447002,0.0034207737,9.364959e-06,0.003060222
-0.022021582,0.0027249437,9.289158e-06,0.003047812
0.036526576,0.0030807334,6.04273e-06,0.0024581966
0.019252468,0.002934469,1.1350003e-05,0.0033689765
0.011462985,0.003297727,9.632947e-06,0.0031036988
-0.0024772394,0.0043452526,1.4614918e-05,0.0038229462
0.00038392138,0.0036274896,7.590491e-06,0.0027550845
3.1100397e-05,0.0028216469,7.202398e-06,0.0026837285
0.0012337128,0.0032856318,7.635921e-06,0.002763317
0.003010258,0.003666583,1.34943075e-05,0.0036734599
0.014978659,0.0034916021,1.1583877e-05,0.0034035095
0.005975552,0.003227896,1.3309277e-05,0.0036481882
0.005034861,0.0031592161,5.401712e-06,0.0023241583
0.0144879185,0.0037732043,6.8737213e-06,0.0026217783
0.017346967,0.0027693328,5.61952e-06,0.0023705526
-0.015563012,0.0041343565,1.4766116e-05,0.0038426705
-0.004018382,0.0036088657,8.921825e-06,0.0029869424
9.9030085e-06,0.00318377,1.0512122e-05,0.0032422403
