Date,log_return,rolling_vol,kmeans_regime,regime_name,hmm_state,hmm_regime,p_sideways,p_bull,p_bear
2019-09-04,0.012583189579946745,0.010585805042613734,1,Sideways,0,Sideways,0.8433425956834012,0.15663636767604355,2.1036638919447463e-05
2019-09-05,0.0020054148333785607,0.010289968335294187,1,Sideways,1,Bull,0.14358552567207242,0.8563855756717751,2.8898655863881824e-05
2019-09-06,-0.01295674228970426,0.010713038609290137,0,Bear,0,Sideways,0.8568771278338656,0.1430928394494636,3.0032715357281823e-05
2019-09-09,0.016208391137201537,0.011325362628761122,1,Sideways,1,Bull,0.12804653686538592,0.8718990673150631,5.439582121250752e-05
2019-09-10,0.006024272377737086,0.011388501463147169,1,Sideways,0,Sideways,0.8720815363796551,0.12789813186441934,2.0331755356493105e-05
2019-09-11,0.006983492276895461,0.011466209239447802,1,Sideways,1,Bull,0.11634308652223235,0.8836252123671915,3.170111045350305e-05
2019-09-12,0.005138747386403112,0.009031227283706261,1,Sideways,0,Sideways,0.8838724056023488,0.11611529260523029,1.230179270752744e-05
2019-09-13,0.006077340354668976,0.008616990339071843,1,Sideways,1,Bull,0.10474957715130304,0.895231274602869,1.9148247401871037e-05
2019-09-16,-0.004688363674839702,0.008616875253588662,1,Sideways,0,Sideways,0.8955487946527594,0.10443887535161589,1.2329994135856544e-05
2019-09-17,-0.011197014550446137,0.00916975304807044,0,Bear,1,Bull,0.0936453550569402,0.9063271694526532,2.74754907483804e-05
2019-09-18,0.004746837755676916,0.008978067142845514,1,Sideways,0,Sideways,0.906574826461865,0.09341213891198666,1.3034625237504173e-05
2019-09-19,-0.015734811882243842,0.009895247162327255,0,Bear,1,Bull,0.08299130370799324,0.9169684952132068,4.020107745138395e-05
2019-09-20,-0.001018072083053924,0.00919929672119396,1,Sideways,0,Sideways,0.9170024810464827,0.08298470787565318,1.281107958752251e-05
2019-09-23,-0.0021572700933950137,0.009226395558919933,1,Sideways,1,Bull,0.07451331968715659,0.9254702929764007,1.6387337857315534e-05
2019-09-24,0.018093540089289956,0.009438965040711641,1,Sideways,0,Sideways,0.9255904751632484,0.07438199578033702,2.7529055158923355e-05
2019-09-25,0.0075464959536342534,0.009437804007721267,1,Sideways,1,Bull,0.06119619531607905,0.938778344089342,2.5460593487773093e-05
2019-09-26,-0.006629827942391646,0.009613529866811963,1,Sideways,0,Sideways,0.9397155827044363,0.06026399735312642,2.041994417562689e-05
2019-09-27,0.031021424387288637,0.011487001045432786,1,Sideways,1,Bull,0.047682875361170725,0.9521744025129432,0.00014272212468664636
2019-09-30,-0.0011342598231711657,0.011154074273560537,1,Sideways,0,Sideways,0.9515266556229104,0.048447432820564504,2.5911558296868188e-05
2019-10-01,-0.011070838930788536,0.01159573073203549,0,Bear,1,Bull,0.044326940514291015,0.955651761713911,2.129777174765897e-05
2019-10-02,-0.003543129225532912,0.011416399467095882,1,Sideways,0,Sideways,0.9548454686214569,0.04513227773945606,2.2253638707982826e-05
2019-10-03,-0.00702793997304853,0.011580600968363452,1,Sideways,1,Bull,0.04130160878400126,0.9586825638572514,1.582735917656105e-05
2019-10-04,0.0065863033009680265,0.011136155130240761,1,Sideways,0,Sideways,0.9579554957195242,0.04202445406543373,2.0050215016498776e-05
2019-10-07,-0.0045559539151571096,0.010722781738582165,1,Sideways,1,Bull,0.03793373738549917,0.9620473867889585,1.8875824505496075e-05
2019-10-08,-0.011070506209218138,0.010993638364188011,0,Bear,0,Sideways,0.9613187321753613,0.038428881759769606,0.00025238606443847415
2019-10-09,-0.021941461894435552,0.01193310681481356,0,Bear,1,Bull,0.03278228445797335,0.9659747573727419,0.0012429581677287382
2019-10-10,-0.008751764656835925,0.011953387091871558,0,Bear,0,Sideways,0.9575661272553487,0.03364297681616611,0.008790895928139112
2019-10-11,0.0025014265378393804,0.011855346476440803,1,Sideways,1,Bull,0.008456490034090524,0.960628068595015,0.030915441370440108
2019-10-14,-0.05230374103684237,0.016351715648597304,0,Bear,2,Bear,0.0018046960670461006,0.00788745900929603,0.9903078449224648
2019-10-15,0.013487878446241205,0.016737313838984195,1,Sideways,2,Bear,0.009245848715665276,0.004404681726748104,0.9863494695593258
2019-10-16,-0.011831485069309967,0.016736275450518222,0,Bear,2,Bear,0.00521726666486733,0.010159139460004886,0.984623593874381
2019-10-17,0.00803037649633273,0.01670113905816878,1,Sideways,2,Bear,0.008005158021413718,0.006364832482457337,0.9856300094958443
2019-10-18,0.03641259924978237,0.018866800986699316,2,Bull,2,Bear,0.003544647156058844,0.008273608039299832,0.9881817448042266
2019-10-21,-0.01115068369137977,0.019004590893337458,0,Bear,2,Bear,0.009660448039096632,0.010121771004599161,0.9802177809580345
2019-10-22,0.0057620586609596226,0.018534225855564117,2,Bull,2,Bear,0.04178310802830767,0.015502829175929286,0.9427140627955443
2019-10-23,0.019212207379969367,0.0190269305663626,2,Bull,2,Bear,0.02517707887343449,0.06591166343322731,0.9089112576941358
2019-10-24,0.005600385686015001,0.019046521662950604,2,Bull,2,Bear,0.1448183032392402,0.04437207256323363,0.810809624196996
2019-10-25,-0.0012923985173380382,0.017515125171240372,1,Sideways,2,Bear,0.09188845274411608,0.22580066924550127,0.6823108780101548
2019-10-28,-0.0037759769586552423,0.017515006329568004,0,Bear,0,Sideways,0.3241677616603402,0.11527173887806737,0.5605604994628235
2019-10-29,0.0,0.017405679747457246,1,Sideways,1,Bull,0.14163063113626026,0.37918723598557735,0.47918213287945954
2019-10-30,-0.011548000622728856,0.017535008527361524,0,Bear,0,Sideways,0.43586227473525274,0.155307403113663,0.40883032215141996
2019-10-31,-0.0022671866135078045,0.017500912880999142,0,Bear,1,Bull,0.1758249244926955,0.4963462726465378,0.3278288028598552
2019-11-01,-5.888727353501883e-05,0.017389149780589603,1,Sideways,0,Sideways,0.5656414406555295,0.18936549042422643,0.24499306891963626
2019-11-04,0.016370006439664915,0.017880102458225827,2,Bull,1,Bull,0.19551426979790915,0.6020730283292295,0.20241270187423308
2019-11-05,0.004361659469884876,0.017774883184667998,1,Sideways,0,Sideways,0.6469603586727929,0.20779704613835104,0.1452425951888672
2019-11-06,0.006132833592386008,0.017101506361409217,1,Sideways,1,Bull,0.21454711181692668,0.675755916177518,0.10969697200589651
2019-11-07,0.023458192694197442,0.017667429728458164,2,Bull,0,Sideways,0.6931766239994942,0.2209354891077554,0.0858878868938609
2019-11-08,-0.0037852523292196028,0.01772053421962617,0,Bear,1,Bull,0.21813992991245076,0.7314437024999738,0.05041636758891936
2019-11-11,-0.0003363773821362087,0.012319492819490399,1,Sideways,0,Sideways,0.7732778011255999,0.2234807622359586,0.0032414366383966354
